steering;driving
0.563124;0.0106077
0.572328;0.0182775
0.583066;0.0246311
0.595952;0.0280382
0.600247;0.0100537
0.604695;0.00691615
0.604695;0.0172182
0.611291;0
0.619575;0.0168042
0.625557;0.0173944
0.00076699;0.0279533
0.00582913;0.0245992
0.00751651;0.0177255
0.0158;0.0286305
0.0177942;0.0107669
0.0213223;0.0184409
0.0228563;0.0109219
0.0248505;0.0141932
0.0266913;0.0182393
0.0276117;0.00721122
0.028532;0
0.0342078;0.047082
0.0355884;0.0186766
0.0377359;0.0262805
0.0386563;0.0114229
0.0389631;0.00721122
0.0391165;0.0186957
0.0392699;0.0143864
0.0392699;0.0178168
0.0392699;0.0253613
0.0392699;0
0.0392699;0.042951
0.0392699;0.0182393
0.0392699;0.00731524
0.0392699;0.0212983
0.0392699;0.0148215
0.0392699;0.0105313
0.0392699;0.0111023
0.0392699;0.0145222
0.0392699;0.0147918
0.0392699;0.0372873
0.0392699;0.0110153
0.0392699;0.0257456
0.0392699;0.01445
0.0392699;0.0224382
0.0392699;0.0107351
0.0392699;0.0110153
0.0392699;0.00743836
0.0392699;0.00764427
0.0392699;0.0217568
0.0392699;0.0366017
0.0392699;0.00738317
0.0392699;0.0376121
0.0392699;0.0186808
0.0395767;0.0114675
0.0400369;0.0149001
0.0403437;0.00721547
0.0411107;0.0189483
0.0411107;0.011338
0.0420311;0.0220922
0.0426447;0.0114823
0.0426447;0.00725368
0.0434117;0.0154499
0.0444854;0.0382681
0.045099;0.0117095
0.045866;0.018908
0.0463262;0.0114038
0.046633;0.00799666
0.0475534;0.022262
0.0484738;0.0259494
0.0492408;0.014864
0.0518486;0.0338165
0.0523087;0.00707748
0.0533825;0.0187296
0.0546097;0.0150338
0.0550699;0.0145307
0.0555301;0.0149977
0.0566039;0.01559
0.0576777;0.0143715
0.0584447;0.0112212
0.0584447;0.0155942
0.060899;0.021761
0.0627398;0.0260279
0.0638136;0.0149765
0.0644272;0.00728764
0.0665748;0.022538
0.0679553;0.0109856
0.0693359;0.0186575
0.0705631;0.0108391
0.0728641;0.0334196
0.0730175;0.00327976
0.0743981;0.0185046
0.0750117;0.0148852
0.0750117;0
0.0762388;0.0373001
0.079767;0.0113953
0.081301;0.0147345
0.0819146;0.0115121
0.0832952;0.0513935
0.0849825;0.00696285
0.0851359;0.015106
0.0852893;0.0106226
0.0852893;0.014346
0.0852893;0.0225826
0.0852893;0.00359818
0.0852893;0.0374041
0.0852893;0.0330311
0.0852893;0.0111448
0.0852893;0.0145986
0.0852893;0.0105568
0.0852893;0.0111554
0.0852893;0.0216018
0.0852893;0.0109113
0.0852893;0.0469504
0.0852893;0.00775042
0.0852893;0.0183773
0.0852893;0.0180864
0.0852893;0.0112531
0.0852893;0.01082
0.0852893;0.00760819
0.0852893;0
0.0852893;0.036833
0.0852893;0.0116394
0.0852893;0.0072282
0.0852893;0.00739803
0.0852893;0.041223
0.0852893;0
0.0852893;0.0369625
0.0852893;0.0071348
0.0852893;0.0188337
0.0852893;0.0150869
0.0852893;0.0145328
0.0852893;0.0306408
0.0852893;0.0149234
0.0852893;0.0223278
0.0852893;0
0.0852893;0.0264142
0.0852893;0.0221155
0.0852893;0.0110578
0.0852893;0.0188464
0.0852893;0.014605
0.0852893;0.0144055
0.0852893;0.00721759
0.0852893;0.0147621
0.0852893;0.0266966
0.0852893;0.019116
0.0852893;0.0188103
0.0854427;0
0.0854427;0.0331627
0.0854427;0.0186214
0.0854427;0.00721122
0.0854427;0.0223172
0.0854427;0.0182796
0.0854427;0.0323921
0.0854427;0.0147345
0.0854427;0.00715603
0.0854427;0
0.0854427;0
0.0854427;0
0.0854427;0.0437513
0.0854427;0
0.0854427;0
0.0854427;0.0655039
0.0854427;0.0247606
0.0854427;0
0.0854427;0
0.0854427;0
0.0854427;0.0650857
0.0854427;0
0.0854427;0
0.0854427;0.0358778
0.0854427;0.0289595
0.0854427;0
0.0854427;0
0.0854427;0.0360136
0.0854427;0
0.0854427;0
0.0854427;0.0542317
0.0854427;0
0.0854427;0
0.0854427;0.0533592
0.0854427;0
0.0854427;0
0.0854427;0
0.0854427;0.0588149
0.0854427;0.0285052
0.0854427;0.00734496
0.0854427;0.0249304
0.0854427;0
0.0854427;0.0243636
0.0854427;0
0.0854427;0.0451948
0.0854427;0
0.0854427;0.0384124
0.0854427;0.0072282
0.0854427;0
0.0854427;0.0388434
0.0854427;0
0.0854427;0
0.0854427;0
0.0854427;0.0465853
0.0854427;0
0.0854427;0
0.0854427;0
0.0854427;-0.0562823
0.0854427;0
0.0854427;0.0362684
0.0854427;0.0209459
0.0854427;0.0112679
0.0854427;0.0287409
0.0854427;0
0.0854427;0.0360455
0.0854427;0.00753177
0.0854427;0.0108986
0.0854427;0.0290741
0.0854427;0.00687581
0.0854427;0.00742138
0.0854427;0.0368606
