x;y;theta;steering_v;driving_v
0.100001; 0.2; 0.100076; 0.0222314; 0.0142993
0.100001; 0.2; 0.100097; 0.0222314; 0.0175366
0.100001; 0.2; 0.100103; 0.0222314; 0.00921941
0.100001; 0.2; 0.100109; 0.0222314; 0.00926611
0.100001; 0.2; 0.10011; 0.0222314; 0.00251979
0.100002; 0.2; 0.10014; 0.0222314; 0.0236928
0.100002; 0.2; 0.100146; 0.0222314; 0.00972888
0.100002; 0.2; 0.10017; 0.0222314; 0.0187148
0.100002; 0.2; 0.100177; 0.0222314; 0.0115248
0.100002; 0.2; 0.100183; 0.0222314; 0.00922578
0.100003; 0.2; 0.100187; 0.0222314; 0.00675481
0.100003; 0.2; 0.100191; 0.0222314; 0.00685671
0.100003; 0.2; 0.100198; 0.0222314; 0.0105844
0.100003; 0.2; 0.100203; 0.0222314; 0.00794996
0.100003; 0.2; 0.100223; 0.0222314; 0.0156027
0.100003; 0.2; 0.100237; 0.0222314; 0.0123718
0.100003; 0.2; 0.100242; 0.0222314; 0.0065765
0.100003; 0.2; 0.100246; 0.0222314; 0.00766975
0.100003; 0.2; 0.100249; 0.0222314; 0.00323093
0.100003; 0.2; 0.100254; 0.0222314; 0.00777164
0.100003; 0.2; 0.100257; 0.0226914; 0.00600758
0.100003; 0.2; 0.100262; 0.0245313; 0.00627293
0.100003; 0.2; 0.100266; 0.0257578; 0.00627718
0.100003; 0.2; 0.100269; 0.0265244; 0.00478484
0.100003; 0.2; 0.100278; 0.0274443; 0.0102787
0.100004; 0.2; 0.100295; 0.0295908; 0.0108221
0.100004; 0.2; 0.100302; 0.0305107; 0.00783321
0.100004; 0.2; 0.100309; 0.0317373; 0.00807945
0.100004; 0.2; 0.100319; 0.0331172; 0.0106502
0.100004; 0.2; 0.100325; 0.0343438; 0.00641728
0.100004; 0.2; 0.100338; 0.0371035; 0.0117519
0.100004; 0.2; 0.100345; 0.0390967; 0.00688431
0.100004; 0.2; 0.100357; 0.0418564; 0.00984988
0.100005; 0.2; 0.100412; 0.0486025; 0.0215615
0.100005; 0.2; 0.100425; 0.0515156; 0.0081771
0.100008; 0.2; 0.100516; 0.0605615; 0.0264079
0.100008; 0.2; 0.100536; 0.0640879; 0.0111172
0.100008; 0.2; 0.100551; 0.0668477; 0.00869295
0.100008; 0.2; 0.100568; 0.0700674; 0.00832782
0.100009; 0.2; 0.100604; 0.0740537; 0.0177616
0.100009; 0.2; 0.100623; 0.0758936; 0.00851888
0.10001; 0.2; 0.100656; 0.0781934; 0.0144288
0.10001; 0.2; 0.100676; 0.0807998; 0.00912388
0.10001; 0.2; 0.100703; 0.0820264; 0.0113635
0.100013; 0.2; 0.100809; 0.0849395; 0.0234614
0.100016; 0.2; 0.10094; 0.0873926; 0.0260512
0.100016; 0.2; 0.100962; 0.0892324; 0.0087906
0.100017; 0.2; 0.100992; 0.0906123; 0.0114802
0.100017; 0.2; 0.101018; 0.0915322; 0.0111299
0.100017; 0.2; 0.101039; 0.0927588; 0.00847854
0.100017; 0.2; 0.101071; 0.0941387; 0.0115099
0.100018; 0.2; 0.101102; 0.0952119; 0.0110026
0.100018; 0.2; 0.101132; 0.0964385; 0.0114484
0.100021; 0.2; 0.101261; 0.0979717; 0.0229774
0.100023; 0.2; 0.101366; 0.0991982; 0.0196892
0.100023; 0.2; 0.101366; 0.0991982; 0
0.100025; 0.2; 0.101431; 0.100271; 0.025943
0.100025; 0.2; 0.101458; 0.100425; 0.00833207
0.100025; 0.2; 0.10148; 0.100578; 0.00876088
0.100025; 0.2; 0.10148; 0.100578; 0
0.100028; 0.2; 0.101567; 0.100885; 0.0293034
0.100028; 0.2; 0.10159; 0.101038; 0.00842547
0.10003; 0.2; 0.101691; 0.101038; 0.0176704
0.100031; 0.2; 0.101742; 0.101038; 0.0177829
0.100033; 0.2; 0.101854; 0.101038; 0.0207272
0.100033; 0.2; 0.101889; 0.101038; 0.0122338
0.100034; 0.2; 0.101934; 0.101038; 0.0154881
0.100035; 0.2; 0.101978; 0.101038; 0.0152015
0.100035; 0.2; 0.102002; 0.101038; 0.00911327
0.100035; 0.2; 0.102039; 0.101038; 0.01279
0.100036; 0.2; 0.102066; 0.101038; 0.00935951
0.100036; 0.2; 0.102093; 0.101038; 0.00962911
0.100039; 0.2; 0.102223; 0.101038; 0.0226696
0.10004; 0.2; 0.10227; 0.101038; 0.0160655
0.100044; 0.2; 0.102429; 0.101191; 0.029297
0.100045; 0.2; 0.102466; 0.101191; 0.0132804
0.100045; 0.2; 0.102487; 0.101191; 0.00636421
0.100046; 0.2; 0.102535; 0.101191; 0.019392
0.100046; 0.2; 0.102574; 0.101191; 0.0132443
0.100047; 0.2; 0.102599; 0.101191; 0.00992843
0.100051; 0.2; 0.10275; 0.101191; 0.0264142
0.100055; 0.2; 0.10291; 0.101191; 0.0276115
0.100056; 0.2; 0.102959; 0.101191; 0.0169719
0.100056; 0.2; 0.102998; 0.101191; 0.0136412
0.100057; 0.2; 0.103029; 0.101191; 0.0102829
0.100057; 0.2; 0.103059; 0.101191; 0.0104422
0.100058; 0.2; 0.103111; 0.101191; 0.019808
0.100058; 0.2; 0.10314; 0.101191; 0.00990508
0.100062; 0.2; 0.103273; 0.101191; 0.0235654
0.100062; 0.2; 0.103301; 0.101191; 0.00979257
0.100067; 0.2; 0.103462; 0.101191; 0.030161
0.100067; 0.2; 0.103501; 0.101191; 0.0134672
0.100068; 0.2; 0.10355; 0.101191; 0.0169847
0.100068; 0.2; 0.103569; 0.101191; 0.00637695
0.100069; 0.2; 0.10363; 0.101191; 0.0201201
0.10007; 0.2; 0.10367; 0.101191; 0.0141571
0.10007; 0.2; 0.103679; 0.101191; 0.00339439
0.10007; 0.2; 0.103717; 0.101191; 0.0133844
0.100072; 0.2; 0.103775; 0.101191; 0.0205722
0.100078; 0.2; 0.103961; 0.101191; 0.0314008
0.100078; 0.2; 0.10397; 0.101345; 0.00344958
0.100082; 0.2; 0.104123; 0.101345; 0.0279278
0.100083; 0.2; 0.104171; 0.101345; 0.0170059
0.100083; 0.2; 0.104212; 0.101345; 0.0141125
0.100083; 0.2; 0.104222; 0.101345; 0.00379136
0.100085; 0.2; 0.104293; 0.101345; 0.0241789
0.100086; 0.2; 0.104342; 0.101345; 0.0170993
0.100089; 0.2; 0.10448; 0.101345; 0.0245504
0.100093; 0.2; 0.104618; 0.101345; 0.0245483
0.100093; 0.2; 0.104662; 0.101345; 0.0171779
0.100093; 0.2; 0.104682; 0.101345; 0.00684185
0.100094; 0.2; 0.104733; 0.101345; 0.0177574
0.100095; 0.2; 0.104775; 0.101345; 0.0144691
0.100095; 0.2; 0.104805; 0.100885; 0.0101534
0.100096; 0.2; 0.104854; 0.100271; 0.0177765
