x;y;t
1.02871;-1.97508;-2.39792
1.01803;-1.9681;-2.40622
1.00375;-1.96247;-2.41401
0.990828;-1.95963;-2.42308
0.973088;-1.94599;-2.43049
0.944303;-1.93581;-2.44627
0.93119;-1.92598;-2.45431
0.903914;-1.90717;-2.47019
0.88894;-1.89984;-2.47849
0.875737;-1.89639;-2.48723
0.860398;-1.88146;-2.49612
0.842402;-1.87058;-2.50404
0.833047;-1.86061;-2.5122
0.817728;-1.85713;-2.52074
0.791069;-1.83534;-2.53769
0.763349;-1.81741;-2.55324
0.748143;-1.80572;-2.5609
0.736629;-1.79783;-2.57018
0.721949;-1.79197;-2.57788
0.70861;-1.78306;-2.58607
0.699076;-1.77065;-2.59466
0.685319;-1.76024;-2.60167
0.670124;-1.75093;-2.61022
0.660895;-1.74491;-2.61896
0.64801;-1.73506;-2.6265
0.633094;-1.72597;-2.63436
0.62178;-1.71425;-2.64225
0.593972;-1.69529;-2.65895
0.580521;-1.68417;-2.66655
0.567792;-1.67436;-2.67441
0.5566;-1.66311;-2.68298
0.545306;-1.65278;-2.69166
0.531398;-1.63949;-2.69908
0.518837;-1.63282;-2.70825
0.50768;-1.61553;-2.71527
0.483905;-1.60014;-2.73167
0.472404;-1.58881;-2.74051
0.449502;-1.56536;-2.75614
0.437335;-1.55689;-2.76469
0.426094;-1.54428;-2.77298
0.414425;-1.53197;-2.78139
0.402904;-1.52179;-2.78994
0.391695;-1.5108;-2.79772
0.381991;-1.4977;-2.8054
0.370264;-1.48733;-2.81405
0.35872;-1.47142;-2.82169
0.347064;-1.46361;-2.82982
0.327493;-1.43668;-2.84599
0.317521;-1.42785;-2.8549
0.30622;-1.41359;-2.86275
0.2973;-1.39924;-2.87054
0.285135;-1.3893;-2.87984
0.275295;-1.37392;-2.88792
0.266836;-1.36346;-2.8968
0.255897;-1.35019;-2.90616
0.234903;-1.32337;-2.92343
0.225835;-1.30736;-2.93145
0.205929;-1.28273;-2.94889
0.196431;-1.26619;-2.95701
0.184534;-1.25556;-2.96652
0.17749;-1.23878;-2.97427
0.168274;-1.22893;-2.98419
0.158997;-1.21568;-2.99213
0.152518;-1.19863;-3.00038
0.142578;-1.18513;-3.0086
0.132977;-1.17182;-3.01744
0.127732;-1.15456;-3.0252
0.118272;-1.14369;-3.03396
0.106246;-1.1298;-3.04276
0.0905907;-1.10128;-3.05991
0.0826361;-1.08336;-3.06734
0.0746424;-1.07156;-3.0765
0.0690226;-1.05939;-3.08429
0.060858;-1.04716;-3.0941
0.0458648;-1.01449;-3.11083
0.0396522;-0.999518;-3.11841
0.0235384;-0.971556;-3.13468
0.0165378;-0.958484;3.13943
0.00775583;-0.942429;3.13221
0.000853867;-0.930295;3.12386
-0.00846614;-0.910719;3.11672
-0.0152096;-0.900414;3.10816
-0.0208494;-0.887516;3.09939
-0.0273514;-0.870149;3.09231
-0.0351165;-0.853742;3.08499
-0.0421615;-0.843808;3.07605
-0.0507364;-0.831788;3.06801
-0.0639912;-0.805865;3.05217
-0.0694805;-0.786949;3.04516
-0.0756624;-0.776027;3.03717
-0.083016;-0.758829;3.02911
-0.0872945;-0.746671;3.02141
-0.0916461;-0.729283;3.0138
-0.0959624;-0.714424;3.00623
-0.104998;-0.698587;2.99833
-0.117723;-0.670293;2.98198
-0.125766;-0.654023;2.97414
-0.136594;-0.622228;2.95904
-0.140423;-0.60601;2.95147
-0.146052;-0.596534;2.94234
-0.152755;-0.583306;2.93408
-0.164191;-0.55112;2.91856
-0.167743;-0.534894;2.9104
-0.1803;-0.501808;2.89532
-0.183993;-0.491659;2.88663
-0.184749;-0.469039;2.87939
-0.190636;-0.456478;2.87129
-0.196005;-0.443613;2.86268
-0.200154;-0.428446;2.85481
-0.2042;-0.410107;2.84746
-0.20745;-0.397612;2.83881
-0.212575;-0.37832;2.83117
-0.217399;-0.346971;2.81547
-0.222335;-0.331864;2.80746
-0.228224;-0.296683;2.79239
-0.231984;-0.280713;2.78468
-0.234446;-0.265167;2.77679
-0.240987;-0.24777;2.77024
-0.241226;-0.233131;2.76141
-0.242371;-0.221391;2.75322
-0.253741;-0.185156;2.73969
-0.255213;-0.170567;2.73175
-0.26357;-0.138569;2.71753
-0.266891;-0.120547;2.71145
-0.271877;-0.103901;2.70444
-0.274572;-0.0972051;2.69611
-0.278677;-0.0760727;2.69064
-0.281833;-0.0654002;2.68369
-0.289764;-0.0464465;2.67804
-0.29216;-0.0345256;2.67069
-0.292291;-0.0184293;2.66504
-0.303067;0.010089;2.65276
-0.31083;0.0391884;2.64067
-0.31751;0.0499307;2.63548
-0.322665;0.0662412;2.63005
-0.330901;0.0793957;2.62482
-0.336707;0.089549;2.6194
-0.343682;0.102298;2.61451
-0.349572;0.120264;2.61051
-0.364357;0.146669;2.60232
-0.38149;0.169162;2.59631
-0.394151;0.179978;2.59423
-0.404042;0.189119;2.59145
-0.41529;0.194085;2.58934
-0.42599;0.20376;2.58795
-0.434426;0.213023;2.58728
-0.444908;0.220081;2.58563
-0.457277;0.234701;2.58583
-0.47844;0.251633;2.58428
-0.491263;0.256714;2.58329
-0.516106;0.27346;2.58411
-0.529495;0.280874;2.584
-0.540835;0.2891;2.58394
-0.555344;0.299585;2.58441
-0.565194;0.305694;2.58437
-0.578316;0.312514;2.58514
-0.592426;0.317684;2.58556
-0.604929;0.319024;2.58571
-0.631338;0.330177;2.58773
-0.645135;0.3382;2.58893
-0.673153;0.348095;2.59136
-0.687097;0.355234;2.59358
-0.701802;0.356188;2.5939
-0.715649;0.362646;2.59622
-0.728458;0.368726;2.59768
-0.74057;0.365755;2.59829
-0.76764;0.382017;2.6016
-0.778773;0.389155;2.60363
-0.80531;0.397815;2.60628
-0.818595;0.400907;2.60716
-0.833452;0.409063;2.60962
-0.847278;0.410568;2.60995
-0.860765;0.416207;2.61171
-0.875147;0.419716;2.61261
-0.887006;0.422855;2.61435
-0.90024;0.429121;2.61611
-0.917993;0.433693;2.61781
-0.942624;0.443527;2.62008
-0.955326;0.444885;2.62114
-0.982781;0.453969;2.62405
-0.998753;0.460135;2.62636
-1.01311;0.465383;2.62822
-1.02357;0.470576;2.62943
-1.03877;0.47039;2.63039
-1.05351;0.477049;2.63201
-1.06611;0.481214;2.63371
-1.07795;0.488639;2.63549
-1.10695;0.497316;2.63878
-1.12163;0.500614;2.63992
-1.15289;0.508801;2.64311
-1.1637;0.514049;2.64493
-1.17752;0.516736;2.64651
-1.19323;0.521135;2.64792
-1.2093;0.525849;2.65008
-1.22179;0.534578;2.65216
-1.2356;0.535099;2.65287
