Steer;Driving
10;4686389
76;4697977
98;4706327
206;4719814
232;4724886
278;4733573
298;4738718
324;4745404
348;4753996
360;4757393
372;4757393
446;4779572
464;4788370
492;4800750
504;4806131
508;4809528
510;4818335
512;4825112
512;4833505
512;4845452
512;4845452
512;4865685
512;4874277
512;4877723
512;4887756
512;4894738
512;4899699
512;4904929
512;4911770
512;4918738
512;4936303
512;4941492
512;4953620
512;4960427
512;4970997
512;4976054
512;4981243
512;4984747
512;4988348
512;4998597
512;5015839
512;5019317
512;5037035
512;5045835
516;5051237
522;5058256
526;5061655
536;5070581
536;5075922
548;5086329
556;5091738
556;5095155
566;5102433
580;5120460
588;5125976
598;5134883
604;5140255
608;5144022
620;5154509
632;5166733
642;5173735
676;5189665
682;5192999
696;5201822
712;5208904
718;5215749
724;5222814
738;5230158
752;5236928
762;5242214
762;5249560
794;5259811
818;5272072
832;5279127
840;5282560
868;5293177
886;5298352
904;5307141
920;5312247
950;5327990
952;5329535
970;5338252
978;5345264
978;5345264
994;5362835
1040;5368203
1060;5375144
1068;5380567
1086;5404777
1108;5408057
1110;5415173
1112;5420177
1112;5426935
1112;5437573
1112;5439268
1112;5456888
1112;5472448
1112;5477698
1112;5484575
1112;5489548
1112;5494803
1112;5504979
1112;5510119
1112;5532236
1112;5535887
1112;5544544
1112;5553064
1112;5558365
1112;5563462
1112;5567046
1112;5567046
1112;5584397
1112;5589880
1112;5593285
1112;5596770
1112;5616189
1112;5616189
1112;5633601
1112;5636962
1112;5645834
1112;5652941
1112;5659787
1112;5674221
1112;5681251
1112;5691769
1112;5691769
1112;5704212
1112;5714630
1112;5719839
1112;5728717
1112;5735597
1112;5742383
1112;5745783
1112;5752737
1112;5765313
1112;5774318
1112;5783179
1114;5783179
1114;5798801
1114;5807573
1114;5810970
1114;5821483
1114;5830094
1114;5845353
1114;5852294
1114;5855665
1114;5855665
1114;5855665
1114;5855665
1114;5876275
1114;5876275
1114;5876275
1114;5907132
1114;5918796
1114;5918796
1114;5918796
1114;5918796
1114;5949456
1114;5949456
1114;5949456
1114;5966357
1114;5979999
1114;5979999
1114;5979999
1114;5996964
1114;5996964
1114;5996964
1114;6022511
1114;6022511
1114;6022511
1114;6047647
1114;6047647
1114;6047647
1114;6047647
1114;6075353
1114;6088781
1114;6092241
1114;6103985
1114;6103985
1114;6115462
1114;6115462
1114;6136752
1114;6136752
1114;6154847
1114;6158252
1114;6158252
1114;6176550
1114;6176550
1114;6176550
1114;6176550
1114;6198495
1114;6198495
1114;6198495
1114;6198495
1114;6171982
1114;6171982
1114;6189067
1114;6198934
1114;6204242
1114;6217781
1114;6217781
1114;6234761
1114;6238309
1114;6243443
1114;6257139
1114;6260378
1114;6263874
1114;6281238
1114;6284729
1114;6295018
1114;6298325
1114;6298325
1114;6298325
1114;6318637
1114;6330759
1114;6330759
1114;6342789
1114;6351421
1114;6370476
1114;6376997
1114;6383946
1114;6388913
1114;6388913
1114;6400523
1114;6407419
1114;6414164
1114;6417640
1114;6434545
1114;6438138
1116;6446794
1122;6457169
1122;6462446
1122;6469225
1124;6486560
1130;6493608
1138;6503802
1144;6512445
1156;6519232
1164;6524359
1182;6531135
1184;6534505
1202;6537795
1216;6553088
1232;6558234
1248;6571635
1250;6571635
1250;6583436
1282;6591952
1288;6598683
1298;6604017
1298;6608995
1318;6625847
1332;6639117
1338;6642340
1338;6642340
1338;6645802
1350;6645802
1360;6666255
1370;6673037
1378;6683088
1386;6689814
1400;6698014
1432;6709765
1452;6718055
1476;6721476
1502;6729745
1538;6737918
1556;6742949
1612;6756326
1646;6764552
1694;6774633
1718;6781496
1736;6789723
1758;6794652
1768;6803100
1796;6808347
1806;6811496
1806;6819962
1828;6828196
1854;6833277
1868;6839920
1900;6856777
1916;6860125
1936;6866727
1950;6871810
1972;6881966
1986;6885421
2008;6895500
2022;6900492
2050;6914278
2058;6921283
2078;6934670
2084;6941114
2088;6947803
2094;6954437
2098;6961059
2098;6965891
2100;6972669
2100;6975919
2100;6984662
2100;6988058
2100;7006887
2100;7011844
2100;7019881
2100;7028164
2100;7033281
2100;7038147
2100;7044779
2100;7056313
2102;7066339
2102;7079624
2102;7083132
2102;7091667
2102;7098267
2102;7104988
2102;7108656
2102;7118868
2102;7122124
2102;7139568
2102;7144687
2102;7155030
2102;7165563
2102;7174250
2102;7179707
2102;7188143
2102;7193323
2102;7198524
2102;7202051
2102;7217741
2102;7226256
2102;7240441
2102;7247327
2102;7256013
2102;7261094
2102;7266676
2102;7275009
2102;7283694
2102;7288816
2102;7295907
2102;7301225
2102;7315702
2102;7321078
2102;7336547
2102;7341831
2102;7348419
2102;7356802
2102;7363467
2102;7368621
2102;7375293
2102;7380337
2102;7395437
2102;7408789
2102;7415397
2102;7424056
2102;7430637
2102;7437586
2102;7442603
2102;7454564
2102;7468466
2102;7476967
2102;7482253
2102;7487362
2102;7496318
2102;7504810
2102;7510104
2102;7518980
2104;7524137
2108;7532971
2112;7538235
2114;7543668
2118;7559548
2118;7566388
2120;7573367
2120;7587215
2120;7592457
2128;7606164
2130;7612891
2130;7612891
2136;7626781
2138;7634223
2156;7641143
2160;7646330
2168;7651596
2184;7663599
2190;7670365
2204;7685672
2208;7694231
2212;7699561
2220;7708147
2228;7713374
2244;7725361
2250;7736165
2258;7750276
2262;7755670
2266;7761362
2270;7772054
2272;7777432
2276;7782838
2278;7791867
2284;7804453
2286;7813340
2290;7827460
2294;7834705
2298;7839908
2298;7839908
2310;7854127
2318;7857718
2324;7868884
2330;7876113
2338;7888647
2340;7894193
2340;7907062
2340;7912397
2340;7921598
2340;7934140
2340;7934140
2340;7934140
2340;7943359
2340;7969327
2340;7976880
2346;7991365
2348;7998733
2350;8004158
2354;8011364
2358;8016870
2362;8026276
2364;8031635
2368;8041002
2368;8044641
2368;8044641
2374;8070549
2374;8074392
2376;8081824
2378;8088928
2378;8088928
2378;8092795
2378;8110885
2378;8120236
2378;8135011
2378;8142065
2378;8156512
2378;8160152
2378;8170642
2378;8177865
2378;8185004
2378;8186831
2378;8197445
2378;8204461
2378;8213197
2382;8226956
2386;8231990
2392;8245886
2396;8252681
2398;8259555
2400;8262714
2402;8269903
2402;8280477
2402;8285942
2404;8293990
2404;8300696
2404;8307296
2404;8315342
2406;8320595
2406;8331875
2406;8338315
2406;8344810
2406;8348077
2406;8356476
2410;8371479
2410;8376604
2420;8385085
2420;8393605
2424;8403935
2426;8407432
2428;8416352
2430;8424938
2436;8430119
2440;8445346
2450;8453931
2454;8464095
2460;8464095
2470;8476010
2476;8482704
2478;8489546
2482;8496126
2486;8503070
2494;8510017
2498;8518368
2506;8530435
2516;8538865
2516;8538865
2516;8538865
2526;8547450
2530;8569177
2530;8569177
2530;8574082
2532;8592559
2534;8604575
2534;8612890
2534;8622584
2536;8627391
2538;8635458
2538;8643558
2538;8643558
2538;8651367
2540;8659276
2540;8672009
2540;8681616
2540;8691223
2540;8697576
2540;8702483
2540;8702483
2540;8702483
2540;8708659
2540;8708659
2540;8708659
2540;8680442
2540;8694968
2540;8703014
2540;8706220
2540;8715958
2540;8720774
2540;8727400
2542;8733693
2542;8738685
2542;8744959
2542;8759684
2542;8764589
2542;8771206
2542;8776427
2542;8781516
2542;8796409
2542;8804549
2542;8806087
2542;8806087
2542;8823901
2542;8838276
2542;8841559
2542;8849688
2542;8856491
2542;8868171
2542;8876343
2542;8887409
2542;8893745
2542;8900293
2542;8903310
2542;8912983
2542;8917741
2542;8922592
2542;8939041
2542;8945523
2542;8957195
2542;8964214
2542;8964214
2542;8974369
2542;8984925
2542;8990314
2542;8995258
2542;9009354
2542;9018054
2542;9033608
2542;9038578
2542;9043793
2542;9053875
2542;9058849
2542;9067275
2542;9072308
2542;9080672
2542;9085836
2542;9099242
2542;9105984
2542;9117917
2542;9119653
2542;9131411
2542;9138050
2542;9139698
2542;9151126
2542;9156033
2542;9166185
2542;9171288
2542;9178208
2542;9191836
2542;9198332
2542;9203244
2542;9206626
2542;9216279
2542;9216279
2542;9229317
2542;9242292
2542;9249017
2542;9260349
2542;9266964
2542;9273398
2542;9280262
2542;9285119
2542;9293474
2542;9300312
2542;9305106
2542;9313401
2542;9318577
2542;9328381
2542;9339980
2542;9345038
2542;9349821
2542;9359687
2542;9364882
2542;9371403
2542;9385776
2542;9390568
2542;9403602
2542;9409965
2542;9416457
2542;9419556
2542;9427736
2542;9432830
2542;9440413
2542;9446727
2542;9450085
2542;9465723
2542;9473576
2542;9479669
2542;9489282
2542;9495900
2542;9504091
2542;9508963
2542;9518410
2542;9521664
2542;9534204
2542;9538819
2542;9553208
2542;9559710
2542;9564568
2542;9570975
2542;9578981
2542;9585715
2542;9592456
2542;9597531
2544;9602398
2558;9612748
2566;9617785
2594;9631658
2602;9638597
2606;9638597
2628;9654454
2638;9659633
2646;9666909
2658;9677076
2664;9685887
2664;9698316
2664;9708630
2666;9714421
2666;9717382
2666;9729752
2666;9733117
2666;9740607
2666;9742099
2666;9763379
2666;9768513
2666;9784209
2666;9789467
2666;9798468
2666;9803545
2666;9805341
2666;9812358
2666;9823232
2666;9832088
2666;9837282
2666;9849516
2666;9866176
2666;9869492
2666;9877982
2666;9886473
2666;9891654
2666;9896809
2666;9910254
2666;9923820
2666;9932595
2666;9936068
2662;9944683
2638;9953253
2612;9958531
2592;9963686
2546;9972406
2508;9977819
2450;9991665
2416;10000143
2404;10003635
2392;10005451
2354;10020709
2338;10027775
2324;10032974
2312;10041619
2288;10055188
2276;10062234
2244;10076400
2230;10081569
2216;10086788
2182;10095615
2152;10102682
2084;10107817
2020;10116566
1866;10128740
1656;10142937
1460;10154678
1368;10163056
1302;10168130
1200;10176250
1166;10181100
1134;10181100
1044;10192297
940;10204790
900;10211304
874;10220832
838;10227126
800;10231772
770;10238341
746;10242851
722;10249172
684;10255560
570;10268457
522;10273192
300;10287508
214;10294084
102;10300204
8140;10308166
8108;10309809
8108;10309809
8108;10322387
7568;10335074
7394;10344738
7186;10355773
7116;10360373
7010;10360373
6772;10376489
6582;10382728
6548;10387648
6438;10390559
6192;10404353
6130;10410202
6074;10417318
5974;10421743
5910;10428778
5876;10435292
5810;10443172
5766;10450746
5740;10455924
5740;10455924
5740;10464784
5674;10469406
5658;10475105
5652;10479495
5642;10483854
5622;10493946
5612;10499664
5610;10501612
5610;10507600
5602;10507600
5600;10512570
5598;10520770
5598;10522693
5598;10527595
5598;10529684
5598;10538521
5598;10546479
5598;10550357
5598;10554372
5598;10556283
5598;10556283
5598;10565378
5598;10570457
5598;10573583
5598;10579034
5598;10583181
5598;10594257
5598;10597628
5598;10601209
5598;10605817
5598;10609398
5598;10618004
5598;10629363
5598;10633209
5598;10638712
5598;10646908
5598;10649507
5598;10656624
5598;10659397
5598;10669306
5598;10677797
5598;10684887
5598;10696685
5598;10699503
5598;10706702
5598;10712574
5598;10712574
5598;10718511
5598;10731781
5598;10736110
5598;10742015
5598;10746646
5598;10760262
5598;10766245
5598;10772535
5598;10777315
5598;10780634
5598;10792529
5598;10798629
5598;10804953
5598;10812866
5598;10822494
5598;10835206
