Steer;Driving
-0.0799204;0.0318423
-0.0747049;0.0106141
-0.0704097;0
-0.0653476;0.0106141
-0.0547631;0.0106141
-0.0492408;0
-0.0400369;0.0106141
-0.029299;0.0212282
-0.0164136;0.0212282
-0.0121184;0
-0.0076699;0
-0.0076699;0.0106141
-0.00107379;0
0.00720971;0.0106141
0.0131922;0.0106141
0.00966408;0.0212282
0.0147262;0.0212282
0.0164136;0.0106141
0.0246971;0.0212282
0.0266913;0.0106141
0.0302194;0.0106141
0.0317534;0.0106141
0.0337476;0.0106141
0.0355884;0.0106141
0.0365087;0
0.0374291;0
0.0431049;0.0424564
0.0444854;0.0106141
0.046633;0.0212282
0.0475534;0.0106141
0.0478602;0
0.0480136;0.0106141
0.048167;0.0106141
0.048167;0.0106141
0.048167;0.0212282
0.048167;0
0.048167;0.0424564
0.048167;0.0106141
0.048167;0
0.048167;0.0212282
0.048167;0.0106141
0.048167;0
0.048167;0.0106141
0.048167;0.0106141
0.048167;0.0106141
0.048167;0.0318423
0.048167;0.0106141
0.048167;0.0212282
0.048167;0.0106141
0.048167;0.0212282
0.048167;0.0106141
0.048167;0.0106141
0.048167;0
0.048167;0
0.048167;0.0212282
0.048167;0.0318423
0.048167;0
0.048167;0.0318423
0.048167;0.0106141
0.0484738;0.0106141
0.048934;0.0106141
0.0492408;0
0.0500078;0.0106141
0.0500078;0.0106141
0.0509282;0.0212282
0.0515418;0.0106141
0.0515418;0
0.0523087;0.0106141
0.0533825;0.0318423
0.0539961;0.0106141
0.0547631;0.0106141
0.0552233;0.0106141
0.0555301;0
0.0564505;0.0212282
0.0573709;0.0212282
0.0581379;0.0106141
0.0607456;0.0318423
0.0612058;0
0.0622796;0.0106141
0.0635068;0.0106141
0.063967;0.0106141
0.0644272;0.0106141
0.065501;0.0106141
0.0665748;0.0106141
0.0673418;0.0106141
0.0673418;0.0106141
0.0697961;0.0212282
0.0716369;0.0212282
0.0727107;0.0106141
0.0733243;0
0.0754719;0.0212282
0.0768524;0.0106141
0.078233;0.0106141
0.0794602;0.0106141
0.0817612;0.0318423
0.0819146;0
0.0832952;0.0106141
0.0839087;0.0106141
