x;y;theta
3.05925;-0.139956;-1.31149
3.06244;-0.152509;-1.33158
3.06433;-0.160475;-1.34428
3.06565;-0.166322;-1.35357
3.06642;-0.169851;-1.35917
3.06715;-0.173264;-1.36459
3.0683;-0.178914;-1.37353
3.06894;-0.182152;-1.37865
3.07065;-0.191293;-1.39307
3.07146;-0.195895;-1.40032
3.07295;-0.204938;-1.41453
3.07387;-0.210967;-1.42399
3.07438;-0.2145;-1.42952
3.07521;-0.220546;-1.43899
3.07565;-0.223874;-1.44419
3.07635;-0.229614;-1.45316
3.07647;-0.230673;-1.45481
3.07724;-0.237579;-1.46559
3.07812;-0.24647;-1.47945
3.07852;-0.251025;-1.48654
3.07915;-0.259051;-1.49902
3.07953;-0.264753;-1.50788
3.07974;-0.268134;-1.51314
3.07992;-0.271494;-1.51835
3.08019;-0.277111;-1.52708
3.08042;-0.282896;-1.53605
3.08053;-0.286375;-1.54145
3.08074;-0.295894;-1.55622
3.0808;-0.301774;-1.56534
3.08081;-0.304155;-1.56903
3.0808;-0.308812;-1.57625
3.08074;-0.314717;-1.58541
3.08067;-0.318375;-1.59108
3.08062;-0.320841;-1.59491
3.08022;-0.332699;-1.61331
3.08012;-0.335118;-1.61706
3.0796;-0.344768;-1.63205
3.07921;-0.350698;-1.64127
3.07876;-0.356668;-1.65055
3.07836;-0.361396;-1.65791
3.07792;-0.366192;-1.66538
3.07792;-0.366192;-1.66538
3.0768;-0.377028;-1.68227
3.07638;-0.38076;-1.6881
3.0745;-0.39528;-1.71081
3.07397;-0.398938;-1.71654
3.0736;-0.401412;-1.72042
3.07307;-0.404876;-1.72585
3.07166;-0.413499;-1.7394
3.07108;-0.416881;-1.74472
3.07066;-0.419227;-1.74842
3.06906;-0.427806;-1.76195
3.06781;-0.434084;-1.77188
3.06703;-0.437866;-1.77787
3.06599;-0.442708;-1.78555
3.06494;-0.447447;-1.79308
3.06389;-0.452035;-1.80038
3.06216;-0.459242;-1.81187
3.06216;-0.459242;-1.81187
3.06005;-0.467578;-1.82521
3.05756;-0.476857;-1.8401
3.05589;-0.482803;-1.84968
3.05348;-0.491029;-1.86298
3.05348;-0.491029;-1.86298
3.05314;-0.492144;-1.86478
3.04909;-0.505041;-1.88575
3.04909;-0.505041;-1.88575
3.04594;-0.514454;-1.90114
3.04348;-0.521489;-1.9127
3.04097;-0.52842;-1.92413
3.04097;-0.52842;-1.92413
3.03667;-0.53976;-1.94294
3.03574;-0.542133;-1.94689
3.03263;-0.54986;-1.95981
3.03168;-0.55216;-1.96367
3.02835;-0.560047;-1.97695
3.02739;-0.562271;-1.9807
3.02739;-0.562271;-1.9807
3.02739;-0.562271;-1.9807
3.01993;-0.578803;-2.00883
3.01846;-0.581919;-2.01418
3.01431;-0.590494;-2.02895
3.01213;-0.594863;-2.03652
3.00891;-0.601179;-2.04751
3.00891;-0.601179;-2.04751
3.00891;-0.601179;-2.04751
3.00462;-0.609355;-2.06184
3.00462;-0.609355;-2.06184
3.00462;-0.609355;-2.06184
3.00462;-0.609355;-2.06184
2.99861;-0.620323;-2.08123
2.99064;-0.634167;-2.10601
2.99064;-0.634167;-2.10601
2.99064;-0.634167;-2.10601
2.98281;-0.647021;-2.12934
2.98162;-0.648917;-2.13282
2.97861;-0.653652;-2.14152
2.97608;-0.657556;-2.14873
2.973;-0.662245;-2.15744
2.96989;-0.66687;-2.16607
2.96803;-0.669599;-2.17119
2.96131;-0.679229;-2.18941
2.95863;-0.682961;-2.19653
2.95863;-0.682961;-2.19653
2.95309;-0.690524;-2.21108
2.94887;-0.696115;-2.22193
2.94612;-0.699704;-2.22895
2.94325;-0.703385;-2.23619
2.93662;-0.711694;-2.25267
2.9344;-0.714408;-2.25811
2.9344;-0.714408;-2.25811
2.9344;-0.714408;-2.25811
2.9344;-0.714408;-2.25811
2.9344;-0.714408;-2.25811
2.94582;-0.700084;-2.2297
2.94582;-0.700084;-2.2297
2.94006;-0.707419;-2.24416
2.93865;-0.709172;-2.24765
2.93865;-0.709172;-2.24765
2.93865;-0.709172;-2.24765
2.93652;-0.71182;-2.25293
2.93652;-0.71182;-2.25293
2.93652;-0.71182;-2.25293
2.93652;-0.71182;-2.25293
2.93652;-0.71182;-2.25293
2.93652;-0.71182;-2.25293
2.9392;-0.708492;-2.24629
2.9392;-0.708492;-2.24629
2.9342;-0.714655;-2.2586
2.9342;-0.714655;-2.2586
2.92302;-0.72789;-2.28547
2.9161;-0.735742;-2.3017
2.9122;-0.740048;-2.31071
2.90886;-0.743681;-2.31837
2.90634;-0.74638;-2.32409
2.90398;-0.748883;-2.32942
2.90161;-0.751376;-2.33476
2.8976;-0.755521;-2.3437
2.89442;-0.758759;-2.35074
2.89124;-0.761951;-2.35773
2.88713;-0.766013;-2.36669
2.88129;-0.771662;-2.37929
2.87972;-0.773152;-2.38265
2.87537;-0.777245;-2.39192
2.87035;-0.781871;-2.40251
2.86681;-0.785066;-2.40989
2.86495;-0.786735;-2.41377
2.85964;-0.791413;-2.42475
2.85594;-0.794616;-2.43234
2.85316;-0.796982;-2.43799
2.85039;-0.79932;-2.44362
2.85039;-0.79932;-2.44362
2.83515;-0.811712;-2.47408
2.8314;-0.814651;-2.48148
2.8314;-0.814651;-2.48148
2.82272;-0.821273;-2.49841
2.81966;-0.823548;-2.50431
2.81485;-0.827075;-2.51356
2.81096;-0.829877;-2.521
2.80718;-0.832559;-2.52819
2.80426;-0.834604;-2.53372
2.80028;-0.837348;-2.54121
2.79512;-0.840845;-2.55088
2.79024;-0.844085;-2.55996
2.78825;-0.845392;-2.56366
2.78123;-0.849907;-2.5765
2.77505;-0.853776;-2.58756
2.77079;-0.856388;-2.59501
2.76431;-0.860281;-2.60584
2.75893;-0.863447;-2.61463
2.75202;-0.867418;-2.62547
2.74754;-0.869939;-2.63229
2.74518;-0.87125;-2.63584
2.7368;-0.875827;-2.64813
2.73313;-0.877788;-2.65343
2.72534;-0.881865;-2.66445
2.72053;-0.884332;-2.67118
2.71922;-0.884999;-2.67302
2.71312;-0.888053;-2.68142
2.70692;-0.891093;-2.68982
2.70189;-0.893514;-2.6966
2.69441;-0.897035;-2.70657
2.68681;-0.900522;-2.71666
2.68174;-0.902796;-2.72333
2.67784;-0.904519;-2.72846
2.67127;-0.907362;-2.73704
2.66741;-0.909005;-2.74208
2.66463;-0.910171;-2.74568
2.65941;-0.912335;-2.75246
2.64734;-0.917173;-2.76802
2.64059;-0.919786;-2.77669
2.62974;-0.923843;-2.79056
2.62697;-0.924854;-2.79409
2.62292;-0.926309;-2.79924
2.61887;-0.927739;-2.80438
2.60523;-0.932392;-2.82146
2.59827;-0.934665;-2.8301
